rule,explanation,example
Subject-Verb Agreement,The subject and verb must agree in number.,He runs every morning.
Use of Articles,"A' before consonant sounds, 'An' before vowel sounds, 'The' for specific items.",She adopted a cat.
Proper Noun Capitalization,Proper nouns always start with a capital letter.,London is the capital of England.
Pronoun Antecedent Agreement,A pronoun must agree with its antecedent in number and gender.,Every student should bring his or her book.
Use of Commas in a List,"Commas separate items in a list, with an optional Oxford comma before the last item.","I bought apples, oranges, and bananas."
Possessive Apostrophes,Use apostrophes to show ownership or possession.,This is Sarah's book.
Correct Use of Adjectives,Adjectives describe or modify nouns and usually come before them.,They live in a big house.
Adverb Placement,Adverbs usually follow the verb or go at the sentence end.,She sings beautifully.
Forming Plurals,Most nouns form plurals by adding -s or -es.,Dogs are friendly animals.
Proper Use of Capitalization in Titles,"Capitalize the first, last, and major words in titles.",The Great Gatsby is a classic novel.
Use of Modal Verbs,"Modal verbs express ability, permission, or possibility.",You should study for the test.
Use of Prepositions,"Show relationships of time, place, or direction.",She is at the park.
Avoid Double Negatives,Two negatives create a positive meaning.,I don't need any help.
Use of Who vs Whom,Who' is the subject; 'Whom' is the object.,Who is coming to the party?
Use of That vs Which,"That' for essential clauses, 'Which' for non-essential clauses.",The book that I borrowed is interesting.
Correct Use of Apostrophes in Contractions,Apostrophes replace omitted letters.,Don't forget your umbrella.
Capitalization of Days and Months,Days and months are always capitalized.,Her birthday is in October.
Use of Comparative Adjectives,"Comparing two items, often with -er ending.",This car is faster than that one.
Use of Superlative Adjectives,"Comparing three or more items, often with -est ending.",She is the tallest in the class.
Use of Reflexive Pronouns,Reflexive pronouns refer back to the subject.,She taught herself to play piano.
Use of Gerunds,Gerunds are verbs ending in -ing acting as nouns.,Swimming is fun.
Formation of Questions,Questions start with auxiliaries or question words.,Are you coming?
Use of Future Tense,Express future actions with 'will' or 'going to'.,I will travel tomorrow.
Use of Past Tense,Express past actions with the past verb form.,He walked to school yesterday.
Use of Present Perfect,Describes actions at an unspecified time before now.,She has visited Rome.
Use of Passive Voice,Focus on the action receiver rather than the doer.,The book was written by the author.
Parallel Structure,Use same grammatical form in lists or comparisons.,"She likes singing, dancing, and swimming."
Use of Conjunctions,"Conjunctions connect words, phrases, or clauses.",I like tea and coffee.
Use of Sentence Fragments,Avoid incomplete sentences missing a subject or verb.,Because I was late.
Use of Run-on Sentences,Avoid joining independent clauses without punctuation.,I went home I was tired.
Use of Colons,"Colons introduce lists, explanations, or quotations.","She bought three fruits: apples, oranges, and bananas."
Use of Semicolons,Link closely related independent clauses.,I have a meeting; I will be late.
Correct Use of Quotation Marks,Quotation marks enclose exact words.,"He said, ""Hello."""
Subject Placement in Questions,Invert subject and auxiliary verb to ask questions.,Is she coming?
Use of Negative Adverbs,Negative adverbs express negation or absence.,She hardly speaks.
Use of Indefinite Pronouns,Refer to non-specific persons or things.,Someone is at the door.
Use of Demonstrative Pronouns,Point out specific things.,This is my book.
Use of Relative Clauses,Give more information about a noun.,The man who called is my uncle.
Use of Conditional Sentences,Express real or hypothetical situations.,"If it rains, I will stay home."
Use of Indirect Speech,Report what someone else said.,She said that she was tired.
Use of Coordinating Conjunctions,Connect equal parts of a sentence.,I want tea and coffee.
Use of Subordinating Conjunctions,Introduce dependent clauses.,I will call you when I arrive.
Use of Articles with Countable and Uncountable Nouns,"A/an' for singular countable, no article for uncountable.",She bought a chair.
Use of Double Comparatives and Superlatives,Avoid double forms like 'more better'.,"He is better, not more better."
Use of Capital Letters in Sentences,Capitalize first word in a sentence.,The cat is sleeping.
Use of Question Tags,Add questions at the end to confirm.,"It's cold, isn't it?"
Use of Tag Questions with Negative Statements,Negative statements use positive tags.,"You're tired, aren't you?"
Correct Use of Capitalization for Names,Personal names start with a capital letter.,John is here.
Use of Possessive Pronouns,Show ownership without apostrophes.,That book is mine.
Use of Articles with Proper Nouns,No articles with most proper nouns.,Mount Everest is the highest mountain.
Use of Helping Verbs,Helping verbs assist main verbs.,She is running.
Use of Adjective Order,Adjectives follow a natural order.,She wore a beautiful red dress.
Use of Negative Prefixes,Negative prefixes change the meaning to the opposite.,He is unhappy.
Use of Present Continuous,Express actions happening now or around now.,He is eating dinner.
Correct Use of Gerund vs Infinitive,"Some verbs take gerunds, others infinitives.",She enjoys swimming but wants to run.
Use of Articles with Nations and Languages,No articles before country or language names.,She speaks English.
Use of Past Continuous,Past actions ongoing at a specific time.,I was reading when he called.
Use of Future Continuous,Future actions in progress.,I will be studying at 8 p.m.
Use of Present Perfect Continuous,Past actions continuing to now.,She has been working all day.
Use of Comparative Adverbs,Compare actions with adverbs.,She runs faster than him.
Use of Superlative Adverbs,Express highest degree of actions.,He speaks most fluently.
Use of Prepositional Phrases,Phrases acting as adjectives or adverbs.,The book on the table is mine.
Use of Indefinite Articles with Adjectives,Indefinite articles before adjectives plus nouns.,She is a talented artist.
Use of Interjections,Express sudden emotions or reactions.,Wow! That was amazing.
Use of Cleft Sentences,Emphasize parts of a sentence.,It was John who broke the vase.
Use of Ellipsis,Indicate omitted words or pauses.,I was thinking... maybe later.
Use of Appositives,Rename or explain a noun.,"My brother, a doctor, is here."
Use of Comparative and Superlative Forms with Irregular Adjectives,Some adjectives have irregular forms.,"Good, better, best."
Use of Absolute Phrases,Provide extra info without changing the sentence.,"The weather being cold, we stayed inside."
Use of Modal Perfect,Express past possibility or speculation.,She must have left early.
Use of Dangling Modifiers,Avoid unclear modifiers.,"Walking down the street, the trees were beautiful."
Use of Dangling Modifiers,Avoid unclear modifiers.,"Walking down the street, the trees were beautiful."
Use of Direct Speech,Use quotation marks to record exact spoken words.,"He said, ""I am coming now."""
Use of Passive Modal Verbs,Combine modal verbs with passive voice to express necessity or possibility.,The work must be finished by Friday.
Use of Present Simple for Habits,Use present simple tense to express habitual actions.,She drinks coffee every morning.
Use of Indefinite and Definite Articles,"Use 'a/an' for non-specific, 'the' for specific nouns.",I saw a dog. The dog was friendly.
Use of Comparative Structures with 'More',Use 'more' with longer adjectives to compare two things.,This book is more interesting than the other.
Use of Passive Infinitives,Use passive form in infinitives to focus on the action receiver.,The report needs to be completed.
Use of Inversion for Emphasis,Invert subject and auxiliary verb for emphasis or formal writing.,Never have I seen such a sunset.
Use of Tag Questions for Confirmation,A short question added to confirm information.,"You're coming, aren't you?"
Use of Phrasal Verbs,Combine verbs with particles to change meaning.,She looked up the word.
