phrase,meaning,example
A piece of cake,Something that is very easy to do.,Passing the test was a piece of cake after studying all week.
Born with a silver spoon in one’s mouth,To be born into a wealthy and privileged family.,He’s never had to work hard; he was born with a silver spoon in one’s mouth.
Pay an arm and a leg,To pay a very high price for something.,I had to pay an arm and a leg for my new laptop .
Time flies when you're having fun,Time seems to pass quickly when you're enjoying yourself.,We were laughing so much—I can’t believe it’s already midnight. Time flies when you're having fun!
Your guess is as good as mine,"You do not know something, just like the person asking.",I don’t know when the train arrives—your guess is as good as mine.
Bent out of shape,"To be upset or angry about something, often unnecessarily.",She got really bent out of shape over a small typo in the report.
Speak of the devil,Used when someone you were just talking about suddenly appears.,We were just talking about you! Speak of the devil!
On a wild goose chase,To waste time searching for something that is not valuable or doesn’t exist.,"I spent all morning looking for the manager, but it turned out to be a wild goose chase."
Ignorance is bliss,It’s sometimes better not to know the truth to avoid worry.,I didn’t check my exam results yet—ignorance is bliss!
It's raining cats and dogs,It is raining very heavily.,I forgot my umbrella and got soaked—it was raining cats and dogs .
Once in a blue moon,Something that happens very rarely.,We only go out to dinner once in a blue moon .
A taste of their own medicine,Experiencing the same negative treatment one has given to others.,"After years of teasing others, he finally got a taste of his own medicine."
Break the ice,To start a conversation in a social setting to make people feel comfortable.,He told a joke to break the ice at the beginning of the meeting .
Cut corners,"To do something in the cheapest or easiest way, often sacrificing quality.","The company cut corners on safety, which led to an accident."
The ball is in your court,It is now your turn to make a decision or take action.,I’ve sent you the proposal—now the ball is in your court .
The best of both worlds,Enjoying two desirable but usually conflicting benefits at once.,Living in the city but working from home gives me the best of both worlds .
Show someone the ropes,To teach someone how to do a job or task.,My coworker showed me the ropes on my first day .
The whole nine yards,Everything possible; the full amount or extent.,"For the party, she went all out—decorations, catering, music—the whole nine yards ."
Through thick and thin,Supporting someone during both good and bad times.,True friends stay with you through thick and thin .
Throw in the towel,To give up or admit defeat.,"After failing the test three times, he finally threw in the towel."
Turn a blind eye,To deliberately ignore something wrong.,The manager turned a blind eye to the employee’s late arrivals.
Under the weather,Feeling slightly ill or unwell.,"I’m feeling under the weather today, so I’ll stay home ."
Off the hook,No longer responsible or freed from an obligation.,"I was supposed to work Saturday, but my boss let me off the hook."
Up in the air,Uncertain or not yet decided.,Our vacation plans are still up in the air .
"When it rains, it pours",When bad things happen all at once.,"First my phone broke, then I locked myself out—when it rains, it pours ."
Back someone up,To support or defend someone.,"When I was accused, my friend backed me up with an alibi ."
Break down,"To stop working, especially a machine.",The car broke down on the highway during rush hour .
Call around,To contact several people to get information or help.,I called around to find a plumber who could come immediately .
Call off,To cancel a plan or event.,They called off the picnic due to bad weather .
Calm down,"To become less angry, excited, or anxious.",Take a deep breath and calm down before you say something you’ll regret .
Check something out,To examine or inspect something.,I’ll check out the contract and get back to you .
Cut down on,To reduce the amount of something.,The doctor told me to cut down on sugar .
Cut off,To stop the supply of something.,The power was cut off during the storm .
Cut out,"To remove something by cutting, or to stop doing a habit.",I had to cut out coffee because it made me jittery .
Deal with,To handle or manage a situation or person.,How do you deal with stress at work ?
Dress up,To wear formal or fancy clothes.,We dressed up for the wedding even though it was outdoors .
Drop by,To visit someone informally.,I’ll drop by your office later to return the book .
Drop off,"To deliver something or someone, or to fall asleep.",Can you drop off these papers at the post office ?
Drop out,To quit school or a program before finishing.,He dropped out of college to start his own business .
End up,"To finally be in a certain place or situation, often unexpectedly.",We missed the bus and ended up walking home .
Fall apart,To break into pieces or to fail completely.,The old suitcase finally fell apart after ten years of use .
Fall behind,To fail to keep up with others in progress or work.,"If you miss too many classes, you’ll fall behind in your studies ."
Fall down,To collapse or fall to the ground.,The old building fell down during the earthquake .
Figure out,To solve a problem or understand something.,I finally figured out how to fix the printer .
Fill in,To complete a form or substitute for someone.,Please fill in this application form before the interview .
Fill out,To complete a form with information.,You need to fill out these documents to open a bank account .
Fill up,To make something completely full.,I filled up the car with gas before the road trip .
Get along with,To have a good relationship with someone.,She gets along with everyone in the office.
Get rid of,To remove or eliminate something unwanted.,I need to get rid of these old shoes.
Give up,To stop trying or abandon an effort.,She didn’t give up even after several failures.
Go over,To review or examine details.,Let’s go over the report before submitting it.
Hold on,To wait or pause for a moment.,"Hold on, I’ll be ready in five minutes."
Keep an eye on,To watch or monitor closely.,Can you keep an eye on my bag while I go to the restroom?
Let down,To disappoint someone.,He let down his teammates by missing the goal.
Look after,To take care of someone or something.,Mary looks after her younger brother every afternoon.
Look forward to,To anticipate with pleasure.,I look forward to seeing you at the party.
Make up,To invent a story or reconcile after disagreement.,They made up after their argument.
Pass away,To die.,His grandfather passed away last year.
Pick up,To collect or learn something new.,She picked up Spanish quickly while traveling.
Put off,To postpone or delay.,Can we put off the meeting until next week?
Put on,To wear clothes or gain weight.,He put on his jacket before leaving.
Run out of,To use all of something and have none left.,"We ran out of sugar, so I couldn’t bake the cake."
Set up,To arrange or establish something.,They set up a new company in Silicon Valley.
Show up,To arrive or appear.,She didn’t show up for the appointment.
Shut down,To close or stop operating.,The factory shut down due to financial problems.
Sort out,To organize or resolve a problem.,Let’s sort out these papers before the meeting.
Take after,To resemble a family member in appearance or character.,She takes after her father and loves reading.
Take care of,To look after someone or something.,Please take care of the plants while I’m away.
Take off,To leave the ground; become successful.,The plane will take off in ten minutes.
Tear up,To destroy by tearing into pieces.,He tore up the letter after reading it.
Think over,To consider or reflect on something.,Think over my offer before you decide.
Throw away,To dispose of something as waste.,Don’t forget to throw away the empty wrappers.
Top off,To fill up to the maximum; finish something impressively.,The meal was topped off with a delicious dessert.
Turn down,To reject or refuse.,She turned down the job offer because of the salary.
Try on,To put on clothing to see if it fits.,Try on the dress before you buy it.
Wait on,"To serve someone, especially in a restaurant.",The waiter waited on us quickly.
Wait out,To wait until something ends.,We’ll wait out the storm before driving home.
Wake up,To stop sleeping.,I wake up at 6 a.m. every day.
Warm up,To prepare for physical activity.,Stretch to warm up before running.
Work out,To exercise or resolve a problem.,They worked out their differences after talking.
Write down,To record on paper.,Write down your homework assignments.
Back out,To withdraw from a commitment.,She backed out of the agreement at the last minute.
Blow up,To explode or get very angry.,The tire blew up on the highway.
Break in,To enter by force or start using something new.,Someone tried to break in last night.
Bring up,To mention a topic or raise a child.,She brought up an interesting point.
Carry on,To continue doing something.,Carry on with your work quietly.
Catch up with,To reach the same level or update someone.,I need to catch up with my assignments.
Check in,To register upon arrival.,We checked in at the hotel late last night.
Check out,To leave and pay for your stay.,Don’t forget to check out before noon.
Come across,To find unexpectedly.,I came across my childhood photos.
Cut out,To remove or eliminate.,The doctor told me to cut out junk food.
Drop by,To visit informally.,I’ll drop by after work.
Drop off,To deliver or fall asleep.,Please drop off the package at reception.
End up,"To finally be in a situation, often by accident.",We ended up eating at a new restaurant.
Fall apart,To break into pieces or collapse emotionally.,The plan fell apart when the sponsor quit.
Get along with,To have a good relationship.,Sam gets along with his colleagues easily.
Give in,To surrender after resistance.,He finally gave in to their demands.
Add up,To make sense or seem logical.,"His story doesn’t add up—he said he was home all night, but his car was seen downtown."
Back down,To retreat from a position or argument under pressure.,He refused to back down even when confronted with evidence.
Blow over,To pass without serious consequences.,The argument will blow over in a few days; they always make up.
Break down,To lose emotional control and start crying.,She broke down in tears when she heard the news.
Bring about,To cause something to happen.,The new policy helped bring about positive changes in the company.
Call it a day,To stop working for the day or permanently.,We’ve made good progress—let’s call it a day.
Catch on,To understand something or become popular.,It took me a while to catch on to the new software.
Check out,To investigate or examine something.,I’ll check out that new café this weekend.
Come up with,To think of or produce an idea or solution.,We need to come up with a better marketing strategy.
Cut back on,To reduce the amount of something.,I’m trying to cut back on caffeine to sleep better.
Do away with,To abolish or get rid of something.,The school decided to do away with the uniform policy.
Dress down,To wear casual clothes or to scold someone.,"It’s Friday, so we can dress down at work."
Fall through,To fail to happen or be completed.,Our vacation plans fell through when the flights were canceled.
Get across,To successfully communicate an idea.,It took several examples to get the point across.
Get over,To recover from an illness or emotional event.,It took months to get over the breakup.
Give off,"To emit a smell, light, or sound.",The flowers give off a sweet fragrance.
Go back on,To break a promise or agreement.,He went back on his word and refused to help.
Hold back,To restrain oneself or withhold information.,She held back tears during the emotional speech.
Keep up with,To stay at the same level as others.,It’s hard to keep up with the latest technology.
Lay off,To dismiss employees from their jobs.,The company had to lay off 100 workers due to losses.
Let out,To allow someone to leave or release something.,The teacher let the students out early.
Look down on,To regard someone as inferior.,He looks down on people who didn’t go to college.
Look up to,To admire or respect someone.,Children often look up to their parents.
Make for,To head toward a place.,"After dinner, we made for the cinema."
Make up for,To compensate for something missed or lost.,The bonus made up for the long hours.
Pass on,To decline an offer or transmit information.,I’ll pass on the dessert—I’m full.
Pick on,To repeatedly criticize or bully someone.,Stop picking on your little brother.
Put up with,To tolerate something unpleasant.,I can’t put up with his constant complaining.
Run into,To meet someone unexpectedly or encounter a problem.,I ran into an old friend at the supermarket.
Set off,To start a journey or cause something to happen.,We set off early to avoid traffic.
Show off,To boast or display something proudly.,He loves to show off his new car.
Stand by,To support someone or be ready.,I’ll stand by you no matter what happens.
Take in,To understand information or deceive someone.,It took a moment to take in the shocking news.
Take on,To accept a challenge or responsibility.,She decided to take on the role of team leader.
Talk into,To persuade someone to do something.,He talked me into joining the hiking trip.
Tear down,To demolish a building or criticize harshly.,The old factory was torn down last year.
Think through,To consider all aspects of a decision.,You should think through the consequences before quitting.
Throw out,To discard something or expel someone.,They threw out the old furniture.
Turn into,To change into something different.,The argument turned into a full-blown fight.
Use up,To consume all of something.,We’ve used up all the printer paper.
Wait for,To stay in place until something happens.,I’ll wait for you at the bus stop.
Pass something up,"To decline or refuse something, usually something good.",I passed up the job offer because I wasn’t ready to move cities.
Pay somebody back,To return money that you owe.,I’ll pay you back for the coffee tomorrow.
Pay for something,To be punished or suffer consequences for something bad.,He’ll pay for his mistakes sooner or later.
Pick something out,To choose or select from a group.,She picked out a dress for the party.
Point somebody/something out,To indicate with your finger or words.,The teacher pointed out the error in my essay.
Pull something off,To succeed in doing something difficult.,He pulled off a surprise party without her suspecting a thing.
